root_height	pop_size
0.06886511	0.004310077
0.05655682	0.007013079
0.03556276	0.002381868
0.1699391	0.005744467
0.06034678	0.002557272
0.0670935	0.00571287
0.06442657	0.00364531
0.05156724	0.004442601
0.05188682	0.004359894
0.03071858	0.002420422
0.03694112	0.004592086
0.04389689	0.01033478
0.04023269	0.004056071
0.03659727	0.006833322
0.05296662	0.004024236
0.02031719	0.005381688
0.0544765	0.01015867
0.04244713	0.01119978
0.05828825	0.004473433
0.02534827	0.009560011
0.04797933	0.003051097
0.05060703	0.006597542
0.01927822	0.003339304
0.04485613	0.006591195
0.02730039	0.004221663
0.02389533	0.005251493
0.05802673	0.009051318
0.08115133	0.002449601
0.07385027	0.002519019
0.02925389	0.004526781
0.05357997	0.003397065
0.05361044	0.005931841
0.09239682	0.002148771
0.03745841	0.005160156
0.04549304	0.007127932
0.0304403	0.002939851
0.04076965	0.006575309
0.05186968	0.004315627
0.02221669	0.005239208
0.08190817	0.00522431
0.05431488	0.002772102
0.03399961	0.003954365
0.04945215	0.004890874
0.1063202	0.002270418
0.1232519	0.00636926
0.04130795	0.005584753
0.07257518	0.004929793
0.02930624	0.004757117
0.05117805	0.004127022
0.1010231	0.002854952
0.08925268	0.003932573
0.04113437	0.001595662
0.09525236	0.004558413
0.02948819	0.007398039
0.1023831	0.008343763
0.04606828	0.003762543
0.09355515	0.003505584
0.02395712	0.003958488
0.02905221	0.002807745
0.03501951	0.00616457
0.0497555	0.009152719
0.06437403	0.003960756
0.04190247	0.006868796
0.03795322	0.003031117
0.06443606	0.003246708
0.04664572	0.007239462
0.04821921	0.004204798
0.05954429	0.006465092
0.05856178	0.005216754
0.0297602	0.002760648
0.03934423	0.002005379
0.03870108	0.001570716
0.01447834	0.005205171
0.03337748	0.002680884
0.05593269	0.008404111
0.04179826	0.002721658
0.05474074	0.002634908
0.03409501	0.01328899
0.04934522	0.004901564
0.03251752	0.002865215
0.03506345	0.002978076
0.03284598	0.00166516
0.05349073	0.005701129
0.06843232	0.005077925
0.08355395	0.004771071
0.07114253	0.004166915
0.03988394	0.00425403
0.01734165	0.003620479
0.01071848	0.003374098
0.03650771	0.005800636
0.01878845	0.003897874
0.05798552	0.00485735
0.07082621	0.009700176
0.0257095	0.003656393
0.05825143	0.004411044
0.1233595	0.00560368
0.03729502	0.005283065
0.07304581	0.005805409
0.1144557	0.003412272
0.05556543	0.001998906
